School Name,Start Date,End Date,Notes,Degree Name,Activities
Ecole polytechnique fédérale de Lausanne,2008,2013,,Doctor of Philosophy (PhD),
Commission pour l’Innovation Technologique,2013,2013,Venture Challenge,Certification,
Université du Sud Toulon Var,2007,2008,,Master's degree,
ISEN - Page école - École d'ingénieurs des Hautes Technologies et du Numérique,2005,2008,,Engineer's degree,"Chef de projet ""Don du Son"" - cd à but caricatif Ingénieur son Manifestation ""Vaincre la Mucoviscidose"""
"Lycée Louis Lachenal, Argonay",2003,2005,,Classes Préparatoires PTSI,
"Lycée Madame de Staël, 74",1999,2003,,High school diploma in sciences,
